id,filename,scene,view_id,input_type,scale,sigma,spp,model,task,psnr,ssim
scene2_6_ffdnet_gn10,scene2_006_FFDNet_denoised.png,scene2,6,GN,-,10,-,ffdnet,DN,37.101,0.913
scene2_6_cbm3d_gn25,scene2_006_CBM3D.png,scene2,6,GN,-,25,-,cbm3d,DN,32.168,0.788
scene2_6_ffdnet_gn25,scene2_006_FFDNet_denoised.png,scene2,6,GN,-,25,-,ffdnet,DN,33.655,0.835
scene2_6_cbm3d_rn32,scene2_006_CBM3D.png,scene2,6,RN,-,-,32,cbm3d,DN,31.044,0.775
scene2_6_ffdnet_rn32,scene2_006_FFDNet_denoised.png,scene2,6,RN,-,-,32,ffdnet,DN,2.598,0.213
scene2_7_cbm3d_gn10,scene2_007_CBM3D.png,scene2,7,GN,-,10,-,cbm3d,DN,35.324,0.877
scene2_7_ffdnet_gn10,scene2_007_FFDNet_denoised.png,scene2,7,GN,-,10,-,ffdnet,DN,37.064,0.914
scene1_18_cbm3d_gn10,scene1_018_CBM3D.png,scene1,18,GN,-,10,-,cbm3d,DN,32.826,0.923
scene1_18_ffdnet_gn10,scene1_018_FFDNet_denoised.png,scene1,18,GN,-,10,-,ffdnet,DN,35.083,0.949
scene2_7_cbm3d_gn25,scene2_007_CBM3D.png,scene2,7,GN,-,25,-,cbm3d,DN,32.095,0.788
scene2_7_ffdnet_gn25,scene2_007_FFDNet_denoised.png,scene2,7,GN,-,25,-,ffdnet,DN,33.604,0.836
scene2_7_cbm3d_rn32,scene2_007_CBM3D.png,scene2,7,RN,-,-,32,cbm3d,DN,30.891,0.774
scene2_7_ffdnet_rn32,scene2_007_FFDNet_denoised.png,scene2,7,RN,-,-,32,ffdnet,DN,2.614,0.213
scene2_8_cbm3d_gn10,scene2_008_CBM3D.png,scene2,8,GN,-,10,-,cbm3d,DN,35.077,0.875
scene2_8_ffdnet_gn10,scene2_008_FFDNet_denoised.png,scene2,8,GN,-,10,-,ffdnet,DN,36.847,0.913
scene2_8_cbm3d_gn25,scene2_008_CBM3D.png,scene2,8,GN,-,25,-,cbm3d,DN,31.789,0.782
scene2_8_ffdnet_gn25,scene2_008_FFDNet_denoised.png,scene2,8,GN,-,25,-,ffdnet,DN,33.298,0.832
scene2_8_cbm3d_rn32,scene2_008_CBM3D.png,scene2,8,RN,-,-,32,cbm3d,DN,30.619,0.767
scene2_8_ffdnet_rn32,scene2_008_FFDNet_denoised.png,scene2,8,RN,-,-,32,ffdnet,DN,2.665,0.206
scene2_9_cbm3d_gn10,scene2_009_CBM3D.png,scene2,9,GN,-,10,-,cbm3d,DN,34.874,0.874
scene1_18_cbm3d_gn25,scene1_018_CBM3D.png,scene1,18,GN,-,25,-,cbm3d,DN,28.225,0.811
scene2_9_ffdnet_gn10,scene2_009_FFDNet_denoised.png,scene2,9,GN,-,10,-,ffdnet,DN,36.603,0.912
scene1_18_ffdnet_gn25,scene1_018_FFDNet_denoised.png,scene1,18,GN,-,25,-,ffdnet,DN,30.37,0.879
