id,scene,view_id,input_type,scale,sigma,spp,model,task,filename,path,experiment_name
scene1_15_ffdnet_gn25,scene1,15,GN,-,25,-,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_015_FFDNet_denoised.png,denoise
scene1_18_cbm3d_rn32,scene1,18,RN,-,-,32,cbm3d,DN,scene1_018_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_018_CBM3D.png,denoise
scene1_18_ffdnet_rn32,scene1,18,RN,-,-,32,ffdnet,DN,scene1_018_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_018_FFDNet_denoised.png,denoise
scene1_19_cbm3d_gn10,scene1,19,GN,-,10,-,cbm3d,DN,scene1_019_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_019_CBM3D.png,denoise
scene1_19_ffdnet_gn10,scene1,19,GN,-,10,-,ffdnet,DN,scene1_019_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_019_FFDNet_denoised.png,denoise
scene1_19_cbm3d_gn25,scene1,19,GN,-,25,-,cbm3d,DN,scene1_019_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_019_CBM3D.png,denoise
scene1_19_ffdnet_gn25,scene1,19,GN,-,25,-,ffdnet,DN,scene1_019_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_019_FFDNet_denoised.png,denoise
scene1_19_cbm3d_rn32,scene1,19,RN,-,-,32,cbm3d,DN,scene1_019_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_019_CBM3D.png,denoise
scene1_19_ffdnet_rn32,scene1,19,RN,-,-,32,ffdnet,DN,scene1_019_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_019_FFDNet_denoised.png,denoise
scene1_24_cbm3d_gn10,scene1,24,GN,-,10,-,cbm3d,DN,scene1_024_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_024_CBM3D.png,denoise
scene1_15_cbm3d_rn32,scene1,15,RN,-,-,32,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_015_CBM3D.png,denoise
scene1_15_ffdnet_rn32,scene1,15,RN,-,-,32,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_015_FFDNet_denoised.png,denoise
scene1_24_ffdnet_gn10,scene1,24,GN,-,10,-,ffdnet,DN,scene1_024_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_024_FFDNet_denoised.png,denoise
